"date","time","metro","population","variable","value","valueNorm"
2020-01-01,0,"Philadelphia",1584064,"cases",0,0
2020-01-02,1,"Philadelphia",1584064,"cases",0,0
2020-01-03,2,"Philadelphia",1584064,"cases",0,0
2020-01-04,3,"Philadelphia",1584064,"cases",0,0
2020-01-05,4,"Philadelphia",1584064,"cases",0,0
2020-01-06,5,"Philadelphia",1584064,"cases",0,0
2020-01-07,6,"Philadelphia",1584064,"cases",0,0
2020-01-08,7,"Philadelphia",1584064,"cases",0,0
2020-01-09,8,"Philadelphia",1584064,"cases",0,0
2020-01-10,9,"Philadelphia",1584064,"cases",0,0
2020-01-11,10,"Philadelphia",1584064,"cases",0,0
2020-01-12,11,"Philadelphia",1584064,"cases",0,0
2020-01-13,12,"Philadelphia",1584064,"cases",0,0
2020-01-14,13,"Philadelphia",1584064,"cases",0,0
2020-01-15,14,"Philadelphia",1584064,"cases",0,0
2020-01-16,15,"Philadelphia",1584064,"cases",0,0
2020-01-17,16,"Philadelphia",1584064,"cases",0,0
2020-01-18,17,"Philadelphia",1584064,"cases",0,0
2020-01-19,18,"Philadelphia",1584064,"cases",0,0
2020-01-20,19,"Philadelphia",1584064,"cases",0,0
2020-01-21,20,"Philadelphia",1584064,"cases",0,0
2020-01-22,21,"Philadelphia",1584064,"cases",0,0
2020-01-23,22,"Philadelphia",1584064,"cases",0,0
2020-01-24,23,"Philadelphia",1584064,"cases",0,0
2020-01-25,24,"Philadelphia",1584064,"cases",0,0
2020-01-26,25,"Philadelphia",1584064,"cases",0,0
2020-01-27,26,"Philadelphia",1584064,"cases",0,0
2020-01-28,27,"Philadelphia",1584064,"cases",0,0
2020-01-29,28,"Philadelphia",1584064,"cases",0,0
2020-01-30,29,"Philadelphia",1584064,"cases",0,0
2020-01-31,30,"Philadelphia",1584064,"cases",0,0
2020-02-01,31,"Philadelphia",1584064,"cases",0,0
2020-02-02,32,"Philadelphia",1584064,"cases",0,0
2020-02-03,33,"Philadelphia",1584064,"cases",0,0
2020-02-04,34,"Philadelphia",1584064,"cases",0,0
2020-02-05,35,"Philadelphia",1584064,"cases",0,0
2020-02-06,36,"Philadelphia",1584064,"cases",0,0
2020-02-07,37,"Philadelphia",1584064,"cases",0,0
2020-02-08,38,"Philadelphia",1584064,"cases",0,0
2020-02-09,39,"Philadelphia",1584064,"cases",0,0
2020-02-10,40,"Philadelphia",1584064,"cases",0,0
2020-02-11,41,"Philadelphia",1584064,"cases",0,0
2020-02-12,42,"Philadelphia",1584064,"cases",0,0
2020-02-13,43,"Philadelphia",1584064,"cases",0,0
